Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-03-06,10.571196570110313,10.684603546818238,10.571196570110313,10.66030216217041,12363,0.0,0
2017-03-07,10.660300403114583,10.684601783752441,10.571194825757793,10.684601783752441,6993,0.0,0
2017-03-08,10.676502167001164,10.765607747099125,10.676502167001164,10.708904266357422,33073,0.0,0
2017-03-09,10.89521692136508,11.494656188460015,10.89521692136508,11.389349937438965,90884,0.0,0
2017-03-10,11.462253712210249,11.624264987775621,11.397449510994905,11.583762168884277,42214,0.0,0
2017-03-13,11.502756427482252,11.543259246008738,11.25974028885035,11.34074592590332,37924,0.0,0
2017-03-14,11.340746366914509,11.373148468490326,11.113931655883789,11.113931655883789,13102,0.0,0
2017-03-15,11.186836142535087,11.413650844745591,11.178735424324389,11.34074592590332,9283,0.0,0
2017-03-16,11.340746197180884,11.381249016676222,11.178735691726562,11.300243377685547,27053,0.0,0
2017-03-17,11.373147903086775,11.421751439297749,11.284042321314825,11.405550003051758,11998,0.0,0
2017-03-20,11.405550211679376,11.462253694523552,11.389349547664047,11.397449493408203,9387,0.0,0
2017-03-21,11.421752474997342,11.502757345991641,11.348847550333522,11.462254524230957,9327,0.0,0
2017-03-22,11.429851782049004,11.429851782049004,11.284042713403627,11.300243377685547,13837,0.0,0
2017-03-23,11.381249750829204,11.46225462251811,11.178736412816326,11.219239234924316,12239,0.0,0
2017-03-24,11.259740265491105,11.259740265491105,11.170634682939301,11.251640319824219,103074,0.0,0
2017-03-27,11.178735546743015,11.340746050096127,11.178735546743015,11.275941848754883,4336,0.0,0
2017-03-28,11.27594154267062,11.543259059078705,11.267840824591104,11.437952041625977,13058,0.0,0
2017-03-29,11.446052987044908,11.616164207458496,11.381248786175636,11.616164207458496,35383,0.0,0
2017-03-30,11.616164269491948,11.64046565181595,11.583762168884277,11.583762168884277,29748,0.0,0
2017-03-31,11.583762268945012,11.826778411865234,11.583762268945012,11.826778411865234,27042,0.0,0
